"Dataset Index","AMPLITUDE","STD_ERR","CENTER","STD_ERR","SIGMA","STD_ERR","FWHM","STD_ERR","HEIGHT","STD_ERR"
"0.0","0.000903","0.0","1.28","0.0","0.882108","0.0","2.077205","0.0","0.000409","0.0"
"1.0","0.000744","0.0","1.28","0.0","1.160355","0.0","2.732426","0.0","0.000256","0.0"
"2.0","0.000811","9.8e-05","1.28","0.357153","1.262047","0.150024","2.971894","0.353279","0.000256","2.1e-05"
"3.0","0.000415","1.9e-05","1.29506","0.007253","0.136827","0.007252","0.322204","0.017077","0.001211","5.6e-05"
"4.0","0.000774","2e-05","1.289428","0.004255","0.139346","0.004255","0.328135","0.010021","0.002217","5.9e-05"
"5.0","0.001168","2.1e-05","1.293462","0.003024","0.142717","0.003024","0.336073","0.007122","0.003264","6e-05"
"6.0","0.001661","2.3e-05","1.295655","0.002321","0.143641","0.002321","0.338248","0.005466","0.004613","6.5e-05"
"7.0","0.002127","2.5e-05","1.297661","0.001918","0.140583","0.001919","0.331047","0.004518","0.006036","7.1e-05"
"8.0","0.002748","2.9e-05","1.299322","0.001753","0.143385","0.001753","0.337646","0.004128","0.007646","8.1e-05"
"9.0","0.003362","3.3e-05","1.297244","0.001632","0.143227","0.001632","0.337273","0.003843","0.009365","9.2e-05"
"10.0","0.004104","3.7e-05","1.300274","0.001466","0.140844","0.001466","0.331662","0.003452","0.011624","0.000105"
"11.0","0.005416","4.4e-05","1.29731","0.001331","0.141895","0.001331","0.334138","0.003135","0.015227","0.000124"
"12.0","0.00669","5e-05","1.295328","0.001207","0.139812","0.001207","0.329232","0.002842","0.019089","0.000143"
"13.0","0.00795","5.5e-05","1.29426","0.001112","0.138766","0.001112","0.32677","0.002619","0.022855","0.000159"
"14.0","0.009067","6.4e-05","1.289976","0.001137","0.139508","0.001137","0.328517","0.002678","0.025929","0.000183"
"15.0","0.009456","6.4e-05","1.288517","0.001082","0.138891","0.001082","0.327063","0.002547","0.027161","0.000183"
"16.0","0.010132","6.8e-05","1.288417","0.001093","0.140138","0.001093","0.329999","0.002574","0.028842","0.000195"

" ","(  0.0 in STD_ERR ","means NoneType. )"
