"TIME","FWHM","Intensity","PEAK POSITION","AREA"
"0.0","0.491959","0.006536","0.962152","0.003215"
"10.0","0.51867","0.008078","0.859617","0.00419"
"20.0","1.997204","3.142881e+17","-6.991002","6.2769744e+17"
"30.0","0.370817","0.000872","1.807005","0.000323"
"40.0","0.402431","0.001778","1.797484","0.000716"
"50.0","0.431492","0.002759","1.808417","0.001191"
"60.0","0.436188","0.004017","1.807018","0.001752"
"70.0","0.435865","0.005437","1.814192","0.00237"
"80.0","0.444584","0.006873","1.814836","0.003056"
"90.0","0.444455","0.008476","1.814219","0.003767"
"100.0","0.44051","0.010679","1.819986","0.004704"
"110.0","0.446207","0.014124","1.816319","0.006302"
"120.0","0.442724","0.018045","1.81373","0.007989"
"130.0","0.438343","0.021503","1.812571","0.009426"
"140.0","0.441407","0.024447","1.806648","0.010791"
"150.0","0.438638","0.025608","1.805009","0.011233"
"160.0","0.442483","0.027126","1.804277","0.012003"
